datetime,open,high,low,close,volume,sentiment,sentiment_diff,sentiment_ma3,sentiment_vol7,symbol
2025-08-29 09:15:00,0.21248,0.21397,0.21226,0.21369,16499629.0,0.0,0.04,-0.006666666666666594,0.08944271909999002,DOGEUSDT
2025-08-29 09:30:00,0.2137,0.21379,0.213,0.21333,7134611.0,0.0,0.04,-0.006666666666666594,0.08944271909999002,DOGEUSDT
2025-08-29 09:45:00,0.21332,0.2144,0.21322,0.21411,17084305.0,0.0,0.04,-0.006666666666666594,0.08944271909999002,DOGEUSDT
2025-08-29 10:00:00,0.21411,0.21537,0.21395,0.21504,8909632.0,0.0,0.04,-0.006666666666666594,0.08944271909999002,DOGEUSDT
2025-08-29 10:15:00,0.21504,0.2158,0.21459,0.21548,5773340.0,0.0,0.04,-0.006666666666666594,0.08944271909999002,DOGEUSDT
2025-08-29 10:30:00,0.21547,0.21547,0.21451,0.21463,9427621.0,0.0,0.04,-0.006666666666666594,0.08944271909999002,DOGEUSDT
2025-08-29 10:45:00,0.21464,0.21523,0.21421,0.21504,13550541.0,0.0,0.04,-0.006666666666666594,0.08944271909999002,DOGEUSDT
2025-08-29 11:00:00,0.21504,0.21584,0.21457,0.21582,12284524.0,0.0,0.04,-0.006666666666666594,0.08944271909999002,DOGEUSDT
2025-08-29 11:15:00,0.21581,0.21581,0.21472,0.21477,4739924.0,0.0,0.04,-0.006666666666666594,0.08944271909999002,DOGEUSDT
2025-08-29 11:30:00,0.21476,0.21495,0.21431,0.21433,5710774.0,0.0,0.04,-0.006666666666666594,0.08944271909999002,DOGEUSDT
2025-08-29 11:45:00,0.21433,0.21487,0.21433,0.2148,2514138.0,0.0,0.04,-0.006666666666666594,0.08944271909999002,DOGEUSDT
2025-08-29 12:00:00,0.21479,0.21562,0.21468,0.2156,3804243.0,0.0,0.04,-0.006666666666666594,0.08944271909999002,DOGEUSDT
2025-08-29 12:15:00,0.2156,0.21582,0.21512,0.21547,6721017.0,0.0,0.04,-0.006666666666666594,0.08944271909999002,DOGEUSDT
2025-08-29 12:30:00,0.21548,0.22102,0.21548,0.21811,116823964.0,0.0,0.04,-0.006666666666666594,0.08944271909999002,DOGEUSDT
2025-08-29 12:45:00,0.2181,0.2194,0.21787,0.21901,15424814.0,0.0,0.04,-0.006666666666666594,0.08944271909999002,DOGEUSDT
2025-08-29 13:00:00,0.21902,0.2192,0.2178,0.21808,8900338.0,0.0,0.04,-0.006666666666666594,0.08944271909999002,DOGEUSDT
2025-08-29 13:15:00,0.21808,0.21822,0.21701,0.21761,9364965.0,0.0,0.04,-0.006666666666666594,0.08944271909999002,DOGEUSDT
2025-08-29 13:30:00,0.21762,0.21781,0.215,0.2159,46067983.0,0.0,0.04,-0.006666666666666594,0.08944271909999002,DOGEUSDT
