datetime,open,high,low,close,volume,sentiment,sentiment_diff,sentiment_ma3,sentiment_vol7,symbol
2017-08-01,301.13,393.71,144.21,384.79,82652.55971,0.0,0.0,0.0,0.0,ETHUSDT
2017-09-01,386.44,394.39,192.0,304.36,167937.12444,0.0,0.0,0.0,0.0,ETHUSDT
2017-10-01,305.13,354.0,272.2,304.9,231137.83697,0.0,0.0,0.0,0.0,ETHUSDT
2017-11-01,304.89,515.0,274.73,427.43,558140.09976,0.0,0.0,0.0,0.0,ETHUSDT
2017-12-01,428.05,864.9,375.01,733.98,1709681.42863,0.0,0.0,0.0,0.0,ETHUSDT
2018-01-01,733.01,1440.0,716.8,1124.81,4449875.05067,0.0,0.0,0.0,0.0,ETHUSDT
2018-02-01,1125.96,1164.99,570.1,853.5,4763007.17082,0.0,0.0,0.0,0.0,ETHUSDT
2018-03-01,853.5,879.96,366.0,393.92,3233542.72918,0.0,0.0,0.0,0.0,ETHUSDT
2018-04-01,393.93,712.99,356.9,670.78,3985713.71581,0.0,0.0,0.0,0.0,ETHUSDT
2018-05-01,670.78,839.99,506.11,577.81,4408748.58226,0.0,0.0,0.0,0.0,ETHUSDT
2018-06-01,577.81,628.81,404.48,454.09,3679540.26495,0.0,0.0,0.0,0.0,ETHUSDT
2018-07-01,454.2,515.47,416.94,432.22,4643015.20349,0.0,0.0,0.0,0.0,ETHUSDT
2018-08-01,432.2,434.99,250.0,281.41,8484870.73771,0.0,0.0,0.0,0.0,ETHUSDT
2018-09-01,281.46,302.0,167.32,232.94,15011197.24495,0.0,0.0,0.0,0.0,ETHUSDT
2018-10-01,233.04,239.0,189.01,198.73,5656055.71475,0.0,0.0,0.0,0.0,ETHUSDT
2018-11-01,198.7,224.8,102.36,113.73,10359794.18795,0.0,0.0,0.0,0.0,ETHUSDT
2018-12-01,113.71,157.67,81.79,131.45,18264688.97842,0.0,0.0,0.0,0.0,ETHUSDT
2019-01-01,131.45,159.26,100.91,106.44,13940118.50003,0.0,0.0,0.0,0.0,ETHUSDT
2019-02-01,106.47,166.0,101.21,135.34,12685474.00855,0.0,0.0,0.0,0.0,ETHUSDT
2019-03-01,135.32,145.89,122.6,141.38,8362024.665,0.0,0.0,0.0,0.0,ETHUSDT
2019-04-01,141.41,185.87,139.57,161.83,12829462.34072,0.0,0.0,0.0,0.0,ETHUSDT
2019-05-01,161.85,288.62,157.55,267.9,18976826.89464,0.0,0.0,0.0,0.0,ETHUSDT
2019-06-01,267.9,366.8,226.56,292.7,12433954.40436,0.0,0.0,0.0,0.0,ETHUSDT
2019-07-01,292.89,318.19,191.84,218.42,11176590.65074,0.0,0.0,0.0,0.0,ETHUSDT
2019-08-01,218.42,239.15,163.61,171.57,6963710.33197,0.0,0.0,0.0,0.0,ETHUSDT
2019-09-01,171.52,223.94,150.03,180.85,13648082.36985,0.0,0.0,0.0,0.0,ETHUSDT
2019-10-01,180.89,197.74,153.45,182.18,14106069.50932,0.0,0.0,0.0,0.0,ETHUSDT
2019-11-01,182.19,195.09,131.45,151.37,10175750.16427,0.0,0.0,0.0,0.0,ETHUSDT
2019-12-01,151.43,152.49,116.26,129.16,8781835.62473,0.0,0.0,0.0,0.0,ETHUSDT
2020-01-01,129.16,187.0,125.88,179.99,12817879.25715,0.0,0.0,0.0,0.0,ETHUSDT
2020-02-01,179.94,288.41,179.1,217.21,21153996.1458,0.0,0.0,0.0,0.0,ETHUSDT
2020-03-01,217.29,251.93,86.0,132.72,40100166.98948,0.0,0.0,0.0,0.0,ETHUSDT
2020-04-01,132.72,227.3,128.62,206.08,30622487.94288,0.0,0.0,0.0,0.0,ETHUSDT
2020-05-01,206.07,247.0,176.0,231.57,24717586.81853,0.0,0.0,0.0,0.0,ETHUSDT
2020-06-01,231.56,253.8,216.0,225.6,16073920.0773,0.0,0.0,0.0,0.0,ETHUSDT
2020-07-01,225.59,349.45,222.87,346.33,20935176.05306,0.0,0.0,0.0,0.0,ETHUSDT
2020-08-01,346.32,446.0,325.0,433.79,28769352.88701,0.0,0.0,0.0,0.0,ETHUSDT
2020-09-01,433.8,488.84,308.42,359.83,34431117.99327,0.0,0.0,0.0,0.0,ETHUSDT
2020-10-01,359.83,420.73,332.18,386.46,19292775.62694,0.0,0.0,0.0,0.0,ETHUSDT
2020-11-01,386.44,623.0,370.23,616.66,36426105.3325,0.0,0.0,0.0,0.0,ETHUSDT
2020-12-01,616.65,758.74,530.43,736.42,30451194.43342,0.0,0.0,0.0,0.0,ETHUSDT
2021-01-01,736.42,1475.0,714.29,1312.55,59589754.02553,0.0,0.0,0.0,0.0,ETHUSDT
2021-02-01,1312.45,2042.34,1269.99,1419.18,33561918.29258,0.0,0.0,0.0,0.0,ETHUSDT
2021-03-01,1418.67,1947.29,1409.91,1919.37,23574009.12632,0.0,0.0,0.0,0.0,ETHUSDT
2021-04-01,1919.37,2798.3,1885.02,2772.42,27220161.75533,0.0,0.0,0.0,0.0,ETHUSDT
2021-05-01,2772.42,4372.72,1728.74,2706.15,49340730.6802,0.0,0.0,0.0,0.0,ETHUSDT
2021-06-01,2706.15,2891.95,1700.48,2275.68,27539800.65398,0.0,0.0,0.0,0.0,ETHUSDT
2021-07-01,2275.68,2553.86,1706.0,2531.05,21263142.44244,0.0,0.0,0.0,0.0,ETHUSDT
2021-08-01,2531.1,3476.0,2442.32,3429.2,21436438.89134,0.0,0.0,0.0,0.0,ETHUSDT
2021-09-01,3429.19,4027.88,2652.0,3000.61,17261458.33691,0.0,0.0,0.0,0.0,ETHUSDT
2021-10-01,3000.62,4460.47,2969.07,4287.21,14410441.89498,0.0,0.0,0.0,0.0,ETHUSDT
2021-11-01,4287.48,4868.0,3913.0,4630.26,12756119.36968,0.0,0.0,0.0,0.0,ETHUSDT
2021-12-01,4630.25,4778.75,3503.68,3676.23,12944994.6731,0.0,0.0,0.0,0.0,ETHUSDT
2022-01-01,3676.22,3900.73,2159.0,2686.94,13966551.02275,0.0,0.0,0.0,0.0,ETHUSDT
2022-02-01,2686.94,3283.66,2300.0,2920.95,14131677.98022,0.0,0.0,0.0,0.0,ETHUSDT
2022-03-01,2920.83,3481.87,2445.0,3281.51,14266235.7133,0.0,0.0,0.0,0.0,ETHUSDT
2022-04-01,3281.51,3580.34,2709.26,2726.66,12949941.312,0.0,0.0,0.0,0.0,ETHUSDT
2022-05-01,2726.67,2965.85,1703.0,1941.9,24777431.00913,0.0,0.0,0.0,0.0,ETHUSDT
2022-06-01,1941.9,1972.58,881.56,1071.01,40584115.82385,0.0,0.0,0.0,0.0,ETHUSDT
2022-07-01,1071.02,1784.79,1006.32,1678.12,38630369.93046,0.0,0.0,0.0,0.0,ETHUSDT
2022-08-01,1678.12,2030.0,1422.08,1554.1,26075507.3157,0.0,0.0,0.0,0.0,ETHUSDT
2022-09-01,1554.11,1789.0,1220.0,1328.72,22545307.0992,0.0,0.0,0.0,0.0,ETHUSDT
2022-10-01,1328.71,1663.06,1190.0,1572.69,16768090.4141,0.0,0.0,0.0,0.0,ETHUSDT
2022-11-01,1572.69,1680.0,1073.53,1294.46,23158646.7442,0.0,0.0,0.0,0.0,ETHUSDT
2022-12-01,1294.46,1352.72,1150.51,1196.13,10466310.2787,0.0,0.0,0.0,0.0,ETHUSDT
2023-01-01,1196.13,1679.26,1190.57,1585.33,14091007.0828,0.0,0.0,0.0,0.0,ETHUSDT
2023-02-01,1585.32,1742.97,1461.93,1605.23,13176410.4841,0.0,0.0,0.0,0.0,ETHUSDT
2023-03-01,1605.24,1857.16,1368.39,1821.52,20803771.4363,0.0,0.0,0.0,0.0,ETHUSDT
2023-04-01,1821.52,2141.54,1762.77,1870.09,14307106.2608,0.0,0.0,0.0,0.0,ETHUSDT
2023-05-01,1870.08,2019.0,1740.0,1873.63,11277172.8598,0.0,0.0,0.0,0.0,ETHUSDT
2023-06-01,1873.63,1948.6,1626.01,1933.79,10385952.6378,0.0,0.0,0.0,0.0,ETHUSDT
2023-07-01,1933.8,2029.11,1826.0,1856.14,7059027.6746,0.0,0.0,0.0,0.0,ETHUSDT
2023-08-01,1856.13,1879.74,1550.0,1645.76,7456380.6685,0.0,0.0,0.0,0.0,ETHUSDT
2023-09-01,1645.77,1694.32,1531.01,1670.89,6037582.383,0.0,0.0,0.0,0.0,ETHUSDT
2023-10-01,1670.89,1865.54,1521.0,1814.67,8141249.517,0.0,0.0,0.0,0.0,ETHUSDT
2023-11-01,1814.67,2136.99,1777.11,2051.96,11382319.5486,0.0,0.0,0.0,0.0,ETHUSDT
2023-12-01,2051.95,2445.8,2045.04,2281.87,11869847.2762,0.0,0.0,0.0,0.0,ETHUSDT
2024-01-01,2281.87,2717.32,2100.0,2283.14,13221129.0566,0.0,0.0,0.0,0.0,ETHUSDT
2024-02-01,2283.15,3522.81,2240.0,3340.09,12127707.2989,0.0,0.0,0.0,0.0,ETHUSDT
2024-03-01,3340.1,4093.92,3056.56,3645.29,17665326.0855,0.0,0.0,0.0,0.0,ETHUSDT
2024-04-01,3645.29,3730.71,2852.0,3014.05,12887073.7799,0.0,0.0,0.0,0.0,ETHUSDT
2024-05-01,3014.04,3977.0,2817.0,3762.29,11599042.9138,0.0,0.0,0.0,0.0,ETHUSDT
2024-06-01,3762.29,3887.47,3240.0,3438.16,7615636.878,0.0,0.0,0.0,0.0,ETHUSDT
2024-07-01,3438.16,3562.82,2810.0,3232.74,8935241.1295,0.0,0.0,0.0,0.0,ETHUSDT
2024-08-01,3232.74,3242.57,2111.0,2513.01,12527905.13,0.0,0.0,0.0,0.0,ETHUSDT
2024-09-01,2513.0,2728.6,2150.55,2602.23,7928515.7252,0.0,0.0,0.0,0.0,ETHUSDT
2024-10-01,2602.24,2769.48,2310.0,2518.61,8867194.2538,0.0,-0.22,0.16000000000000003,0.11759494644146685,ETHUSDT
2024-11-01,2518.61,3738.98,2357.59,3703.6,18365244.9426,0.5,-0.040000000000000036,0.5266666666666667,0.045355736761108226,ETHUSDT
2024-12-01,3703.59,4107.8,3101.9,3337.78,16749304.776,0.62,-0.06000000000000005,0.6200000000000001,0.06202917900165335,ETHUSDT
2025-01-01,3337.78,3744.83,2920.0,3300.99,14733980.4331,0.32,0.03999999999999998,0.3,0.11126972805283762,ETHUSDT
2025-02-01,3300.99,3331.98,2076.26,2237.59,19972378.4816,0.36,-0.16000000000000003,0.4266666666666667,0.049952358255023435,ETHUSDT
2025-03-01,2237.59,2550.58,1754.28,1822.43,17687083.7956,-0.6,0.08000000000000007,-0.6933333333333334,0.31743015729748186,ETHUSDT
2025-04-01,1822.43,1957.0,1385.05,1793.61,19948440.9288,-0.32,0.0,-0.33333333333333326,0.14638501094227796,ETHUSDT
2025-05-01,1793.62,2788.0,1752.0,2528.06,21910230.8688,0.06,-0.06,0.12666666666666673,0.08552359741197382,ETHUSDT
2025-06-01,2528.06,2879.22,2111.89,2485.47,16291573.096,0.12,0.12,0.10666666666666674,0.19861424683949247,ETHUSDT
2025-07-01,2485.47,3941.0,2373.0,3698.39,19611925.2237,0.28,-0.03999999999999998,0.32000000000000006,0.06775305299745554,ETHUSDT
